 ,Beanie,Book,BottleCap,Cap,EarBuds,FireAlarm,GlassesCase,Glove,Mask,Mic,Pen,Phone,Remote,Spoon,Umbrella,Wallet,Watch,Total,Accuracy
EarBuds,0,0,0,0,27,0,0,0,0,0,0,0,0,0,1,0,0,28,0.964285714
Glove,0,0,0,0,0,0,1,27,0,0,0,0,0,0,0,0,0,28,0.964285714
Beanie,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0.961538462
Umbrella,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14,0,0,15,0.933333333
GlassesCase,0,0,0,0,0,0,23,0,0,0,0,1,0,0,0,1,0,25,0.92
Mask,0,0,0,0,0,0,0,0,20,0,0,2,2,0,0,0,0,24,0.833333333
Spoon,0,0,0,0,1,0,0,0,0,1,1,0,0,15,0,0,0,18,0.833333333
Book,0,14,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,17,0.823529412
Pen,0,0,0,0,0,0,0,0,0,3,18,0,0,0,0,0,1,22,0.818181818
Phone,0,0,0,0,0,0,4,0,0,0,0,23,0,0,0,2,0,29,0.793103448
Remote,0,0,0,0,0,0,1,0,1,0,0,2,15,0,0,0,0,19,0.789473684
Mic,0,0,0,0,0,0,0,0,2,24,1,0,1,0,0,0,4,32,0.75
FireAlarm,0,1,0,1,0,11,0,0,0,0,0,0,0,0,0,2,0,15,0.733333333
Watch,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,7,10,0.7
Wallet,0,1,1,0,0,2,2,0,0,0,0,1,0,0,0,13,0,20,0.65
Cap,0,1,3,12,0,2,0,0,0,0,0,0,0,0,0,2,0,20,0.6
BottleCap,1,0,6,2,0,0,0,0,0,0,0,1,0,1,1,1,0,13,0.461538462
,,,,,,,,,,,,,,,,,,,0.795839414
